Compound,Spacegroup,PBE Formation Energy (fit=standard),HSE Formation Energy (fit=standard),PBE Bandgap,HSE Bandgap,natoms,ntypes,PBE Formation Energy (fit=nothing),HSE Formation Energy (fit=nothing),PBE Bandgap Type,HSE Bandgap Type,Exp FE,Data ID
Cd2Hg,I4/mmm,0.001894,0.014479,0.0,0.0,3,2,0.003666,-0.006102,N.A.,N.A.,None,H-10692
CdAg,Pm-3m,-0.058287,-0.077845,0.0,0.0,2,2,-0.058287,-0.077845,N.A.,N.A.,None,H-10860
CdAu,Pm-3m,-0.170258,-0.191651,0.0,0.0,2,2,-0.170258,-0.191651,N.A.,N.A.,-0.2012,H-8647
CdCuSb,F-43m,0.16907,0.034503,0.0,0.0,3,3,0.16907,0.034503,N.A.,N.A.,None,H-11339
CdHg2,I4/mmm,0.023483,0.045613,0.0,0.0,3,2,0.027028,0.004451,N.A.,N.A.,None,H-2193
CdO,Fm-3m,-1.303474,-1.347273,0.19,0.75,2,2,-1.016451,-1.276921,Indirect,Indirect,-1.3421,H-1217
CdPt,P4/mmm,-0.305934,-0.400665,0.0,0.0,2,2,-0.305934,-0.400665,N.A.,N.A.,None,H-5861
CdS,F-43m,-0.852369,-0.815287,1.05,2.05,2,2,-0.634125,-0.756576,Direct,Direct,-0.7742,H-4294
CdS,Fm-3m,-0.71718,-0.746872,0.33,1.21,2,2,-0.498936,-0.688161,Indirect,Indirect,-0.7742,H-4678
CdSbAu,F-43m,-0.125472,-0.133359,0.0,0.0,3,3,-0.125472,-0.133359,N.A.,N.A.,None,H-8111
CdSe,F-43m,-0.625789,-0.762004,0.5,1.42,2,2,-0.625789,-0.762004,Direct,Direct,-0.7504,H-5984
CdSe,Fm-3m,-0.477851,-0.607104,0.0,0.35,2,2,-0.477851,-0.607104,N.A.,Indirect,-0.7504,H-6239
CdTe,F-43m,-0.46181,-0.591523,0.6,1.36,2,2,-0.46181,-0.591523,Direct,Direct,-0.5219,H-10003
CdTe,Fm-3m,-0.281975,-0.378422,0.09,0.57,2,2,-0.281975,-0.378422,Indirect,Indirect,-0.5219,H-7320
Cd,Cmcm,0.0,0.0,0.0,0.0,2,1,0.0,0.0,N.A.,N.A.,0.0,H-176
CeAl,Pm-3m,-0.243015,-0.815893,0.0,0.0,2,2,-0.243015,-0.815893,N.A.,N.A.,None,H-1773
CeBi,Fm-3m,-0.830034,-1.615819,0.0,0.0,2,2,-0.830034,-1.615819,N.A.,Direct,None,H-3960
CeC,Fm-3m,-0.056217,-0.295384,0.0,0.09,2,2,-0.056217,-0.295384,N.A.,Indirect,None,H-4194
CeCd2Ag,Fm-3m,-0.164964,-0.456126,0.0,0.0,4,3,-0.164964,-0.456126,N.A.,N.A.,None,H-761
CeH2,Fm-3m,-0.589492,-0.607541,0.0,0.0,3,2,-0.524185,-0.639844,N.A.,N.A.,-0.6678,H-8322
CeHg,Pm-3m,-0.292791,-0.87378,0.0,0.0,2,2,-0.290133,-0.904652,N.A.,N.A.,None,H-4998
CeMg,Pm-3m,0.087176,0.027857,0.0,0.0,2,2,0.087176,0.027857,N.A.,N.A.,-0.0835,H-660
CeO2,Fm-3m,-3.848367,-4.150549,1.89,3.49,3,2,-3.465671,-4.056746,Indirect,Indirect,-3.7671,H-6307
CeTe,Fm-3m,-1.360164,-1.538076,0.0,0.0,2,2,-1.360164,-1.538076,N.A.,N.A.,-1.5611,H-4920
CeZn,Pm-3m,-0.18589,-0.211186,0.0,0.0,2,2,-0.18589,-0.211186,N.A.,N.A.,None,H-3328
Ce,Fm-3m,0.0,0.0,0.0,0.0,1,1,0.0,0.0,N.A.,N.A.,0.0,H-7
Cl,P42/ncm,0.03533,0.012602,2.73,4.4,16,1,0.03533,0.012602,Indirect,Indirect,None,H-220
