Compound,Spacegroup,PBE Formation Energy (fit=standard),HSE Formation Energy (fit=standard),PBE Bandgap,HSE Bandgap,natoms,ntypes,PBE Formation Energy (fit=nothing),HSE Formation Energy (fit=nothing),PBE Bandgap Type,HSE Bandgap Type,Exp FE,Data ID
O,Cmcm,0.12378,0.203351,0.0,0.0,4,1,0.12378,0.203351,N.A.,N.A.,None,H-27
OsN2,P6/mmm,0.150802,0.488275,0.0,0.0,3,2,0.313883,0.39181,N.A.,N.A.,None,H-6032
OsN,F-43m,0.566845,0.772615,0.0,0.0,2,2,0.689156,0.700266,N.A.,N.A.,None,H-3845
Os,Fm-3m,0.138186,0.200068,0.0,0.0,1,1,0.138186,0.200068,N.A.,N.A.,0.0,H-16
Os,P63/mmc,0.0,0.0,0.0,0.0,2,1,0.0,0.0,N.A.,N.A.,0.0,H-274
PIr2,Fm-3m,-0.50832,-0.673488,0.0,0.16,3,2,-0.393322,-0.607825,N.A.,Indirect,None,H-6289
PRh2,Fm-3m,-0.869403,-1.089475,0.09,0.0,3,2,-0.754406,-1.023811,Indirect,N.A.,None,H-11854
P,Cmcm,0.140928,0.184202,0.0,0.0,4,1,0.140928,0.184202,N.A.,N.A.,-0.181,H-152
P,Cmca,0.035079,0.0,0.1,0.67,4,1,0.035079,0.0,Direct,Direct,-0.181,H-208
P,C2/m,0.140215,0.126739,3.33,4.21,8,1,0.140215,0.126739,Indirect,Indirect,-0.181,H-82
PaAs,Fm-3m,-1.060729,-1.249718,0.04,0.0,2,2,-1.060729,-1.249718,Indirect,N.A.,None,H-12505
PaO,Fm-3m,-1.510116,-1.725576,0.0,0.0,2,2,-1.223093,-1.655224,N.A.,N.A.,None,H-7708
Pa,I4/mmm,0.004072,0.001527,0.0,0.0,4,1,0.004072,0.001527,N.A.,N.A.,0.0,H-211
Pa,Im-3m,0.17707,0.127145,0.0,0.0,1,1,0.17707,0.127145,N.A.,N.A.,0.0,H-314
Pa,Fm-3m,0.0,0.0,0.0,0.0,1,1,0.0,0.0,N.A.,N.A.,0.0,H-87
PbO2,Fm-3m,-1.09776,-0.999062,0.0,0.93,3,2,-0.715063,-0.905259,N.A.,Indirect,-0.9482,H-2817
PbS,Pm-3m,-0.499234,-0.347766,0.11,0.1,2,2,-0.28099,-0.289055,Indirect,Indirect,-0.5154,H-1305
PbSe,Pm-3m,-0.327225,-0.355385,0.0,0.04,2,2,-0.327225,-0.355385,N.A.,Indirect,-0.5182,H-13069
Pb,Im-3m,0.042675,0.045902,0.0,0.0,1,1,0.042675,0.045902,N.A.,N.A.,0.0,H-178
Pb,Fm-3m,0.0,0.0,0.0,0.0,1,1,0.0,0.0,N.A.,N.A.,0.0,H-47
PdAu3,Pm-3m,-0.074912,-0.109586,0.04,0.0,4,2,-0.074912,-0.109586,Indirect,N.A.,-0.0819,H-858
PdN,F-43m,0.902868,1.41426,0.0,0.0,2,2,1.025178,1.341911,N.A.,N.A.,None,H-2203
PdN,Fm-3m,0.988168,1.299801,0.0,0.0,2,2,1.110478,1.227452,N.A.,N.A.,None,H-6895
PdO,Fm-3m,-0.289827,-0.129104,0.0,0.0,2,2,-0.002805,-0.058752,N.A.,N.A.,-0.5984,H-12650
PdO,P4/mmm,0.083189,0.441463,0.0,0.0,2,2,0.370211,0.511815,N.A.,N.A.,-0.5984,H-4449
PdO,Fm-3m,-0.289744,-0.130413,0.0,0.0,2,2,-0.002722,-0.060061,N.A.,N.A.,-0.5984,H-5008
Pd,Im-3m,0.043803,0.019012,0.0,0.0,1,1,0.043803,0.019012,N.A.,N.A.,0.0,H-252
Pd,Fm-3m,0.0,0.0,0.0,0.0,1,1,0.0,0.0,N.A.,N.A.,0.0,H-54
PmMg,Pm-3m,None,None,0.0,0.0,2,2,None,None,N.A.,N.A.,None,H-3916
PmN,Fm-3m,None,None,0.26,0.59,2,2,None,None,Indirect,Indirect,None,H-10223
PrAg,Pm-3m,-0.255175,-0.246163,0.0,0.0,2,2,-0.255175,-0.246163,N.A.,N.A.,-0.2529,H-8167
PrAl,Pm-3m,-0.337202,-0.448101,0.0,0.0,2,2,-0.337202,-0.448101,N.A.,N.A.,None,H-11979
PrAs,Fm-3m,-1.500566,-1.747416,0.0,0.07,2,2,-1.500566,-1.747416,N.A.,Indirect,None,H-4090
PrAu,Pm-3m,-0.753856,-0.757606,0.0,0.0,2,2,-0.753856,-0.757606,N.A.,N.A.,-0.7483,H-5653
PrBi,Fm-3m,-0.98119,-1.203551,0.0,0.0,2,2,-0.98119,-1.203551,N.A.,N.A.,None,H-5840
PrC2,I4/mmm,-0.110416,-0.163863,0.0,0.0,3,2,-0.110416,-0.163863,N.A.,N.A.,-0.3047,H-10661
PrCd,Pm-3m,-0.328428,-0.359053,0.0,0.0,2,2,-0.328428,-0.359053,N.A.,N.A.,None,H-1403
PrGa2,Cmmm,-0.691511,-0.491428,0.0,0.0,3,2,-0.691511,-0.491428,N.A.,N.A.,None,H-8631
PrH2,Fm-3m,-0.697667,-0.703651,0.14,0.25,3,2,-0.63236,-0.735954,Indirect,Indirect,-0.6909,H-12114
PrHg,Pm-3m,-0.484837,-0.526648,0.0,0.0,2,2,-0.482178,-0.55752,N.A.,N.A.,None,H-7133
PrMg,Pm-3m,-0.117928,-0.150799,0.0,0.0,2,2,-0.117928,-0.150799,N.A.,Indirect,None,H-11738
PrN,F-43m,-1.292966,-1.254598,1.58,2.55,2,2,-1.170656,-1.326947,Indirect,Indirect,None,H-10019
PrN,Fm-3m,-1.4133,-1.373154,0.12,0.5,2,2,-1.29099,-1.445503,Indirect,Indirect,None,H-3770
PrNiC2,Amm2,-0.239084,-0.296833,0.0,0.0,4,3,-0.239084,-0.296833,N.A.,N.A.,None,H-375
PrO2,Fm-3m,-2.952585,-2.877328,0.0,0.0,3,2,-2.569889,-2.783525,N.A.,N.A.,-3.2798,H-7280
PrS,Fm-3m,-2.237871,-2.308902,0.0,0.0,2,2,-2.019627,-2.250191,N.A.,N.A.,-2.3417,H-7131
PrSb,P4/mmm,-0.947353,-1.140966,0.0,0.0,2,2,-0.947353,-1.140966,N.A.,N.A.,None,H-7653
PrSe,Fm-3m,-1.84196,-2.093377,0.0,0.0,2,2,-1.84196,-2.093377,N.A.,N.A.,None,H-4944
PrTe,Fm-3m,-1.438801,-1.679892,0.0,0.0,2,2,-1.438801,-1.679892,N.A.,N.A.,None,H-4289
PrTe,Pm-3m,-1.34506,-1.582874,0.0,0.0,2,2,-1.34506,-1.582874,N.A.,N.A.,None,H-7536
PrTl,Pm-3m,-0.397494,-0.502809,0.0,0.0,2,2,-0.397494,-0.502809,N.A.,N.A.,None,H-10854
PrZn,Pm-3m,-0.311373,-0.339232,0.0,0.0,2,2,-0.311373,-0.339232,N.A.,N.A.,None,H-840
Pr,Fm-3m,0.007628,0.013943,0.0,0.0,1,1,0.007628,0.013943,N.A.,N.A.,0.0,H-300
Pr,P63/mmc,0.0,0.0,0.0,0.0,4,1,0.0,0.0,N.A.,N.A.,0.0,H-77
PtC,Fm-3m,1.455977,1.528012,0.0,0.0,2,2,1.455977,1.528012,N.A.,N.A.,None,H-2026
PtC,Amm2,1.546331,1.667389,0.0,0.0,2,2,1.546331,1.667389,N.A.,N.A.,None,H-6877
PtN,Fm-3m,1.24487,1.522021,0.0,0.0,2,2,1.36718,1.449672,N.A.,N.A.,None,H-3170
PtN,F-43m,0.993823,1.465559,0.0,0.0,2,2,1.116133,1.39321,N.A.,N.A.,None,H-7278
PtO,Fm-3m,0.26256,0.455936,0.0,0.0,2,2,0.549582,0.526288,N.A.,N.A.,None,H-1193
Pt,Fm-3m,0.0,0.0,0.0,0.0,1,1,0.0,0.0,N.A.,N.A.,0.0,H-114
Pu3Al,Pm-3m,-0.286509,-0.421743,0.0,0.0,4,2,-0.286509,-0.421743,N.A.,N.A.,None,H-559
PuAs,Fm-3m,-1.204708,-1.449819,0.0,0.07,2,2,-1.204708,-1.449819,N.A.,Indirect,None,H-12083
PuAs,Pm-3m,-0.993299,-1.307667,0.0,0.0,2,2,-0.993299,-1.307667,N.A.,N.A.,None,H-1827
PuC,Fm-3m,-0.097423,0.051658,0.0,0.0,2,2,-0.097423,0.051658,N.A.,N.A.,None,H-5705
PuP,Fm-3m,-1.514559,-1.60978,0.0,0.0,2,2,-1.342063,-1.511285,N.A.,N.A.,None,H-11300
PuS,Fm-3m,-2.122457,-2.304189,0.0,0.0,2,2,-1.904213,-2.245478,N.A.,Direct,-2.2766,H-5052
PuSb,P4/mmm,-0.746573,-0.990113,0.0,0.0,2,2,-0.746573,-0.990113,N.A.,N.A.,None,H-10437
PuSb,Pm-3m,-0.698458,-0.927874,0.0,0.0,2,2,-0.698458,-0.927874,N.A.,N.A.,None,H-4721
PuSe,Fm-3m,-1.665601,-2.091255,0.0,0.0,2,2,-1.665601,-2.091255,N.A.,N.A.,None,H-3264
PuSi2,Cmmm,-0.56613,-0.618156,0.0,0.0,3,2,-0.56613,-0.618156,N.A.,N.A.,None,H-11765
PuTe,Fm-3m,-1.226087,-1.403947,0.0,0.0,2,2,-1.226087,-1.403947,N.A.,N.A.,None,H-5368
Pu,R-3m,0.0,0.014731,0.0,0.0,1,1,0.0,0.014731,N.A.,N.A.,0.0,H-286
Pu,I4/mmm,5.6e-05,0.0,0.0,0.0,1,1,5.6e-05,0.0,N.A.,N.A.,0.0,H-74
Rb2O,Fm-3m,-1.101554,-1.081344,1.32,2.5,3,2,-0.910205,-1.034442,Indirect,Indirect,-1.1677,H-3137
Rb2Se,Fm-3m,-1.061436,-1.167124,1.81,2.63,3,2,-1.061436,-1.167124,Indirect,Indirect,None,H-7207
Rb2Te,Fm-3m,-1.007271,-1.12341,1.89,2.63,3,2,-1.007271,-1.12341,Indirect,Indirect,None,H-4882
RbAu,Pm-3m,-0.27512,-0.217177,0.65,0.47,2,2,-0.27512,-0.217177,Indirect,Indirect,None,H-3699
RbBr,Fm-3m,-2.023492,-1.962643,4.21,5.36,2,2,-1.768317,-1.909738,Direct,Direct,-2.0458,H-12676
RbCl,Fm-3m,-2.245819,-2.098422,4.84,6.13,2,2,-1.945557,-2.044288,Direct,Direct,-2.2554,H-4480
RbCl,Pm-3m,-2.184544,-2.04181,4.77,6.08,2,2,-1.884281,-1.987676,Indirect,Indirect,-2.2554,H-5318
RbF,Pm-3m,-2.755215,-2.769727,5.9,7.94,2,2,-2.555007,-2.667224,Direct,Direct,-2.9004,H-3059
RbF,Fm-3m,-2.854613,-2.863498,5.52,7.44,2,2,-2.654406,-2.760995,Indirect,Indirect,-2.9004,H-7263
RbO2,I4/mmm,-1.182381,-0.903896,0.0,0.0,3,2,-0.799685,-0.810093,N.A.,N.A.,-0.9642,H-9543
RbTbS2,R-3m,-2.070792,-2.112581,2.31,3.21,4,3,-1.852548,-2.05387,Indirect,Indirect,None,H-418
Rb,P63/mmc,0.0,0.000109,0.0,0.0,4,1,0.0,0.000109,N.A.,N.A.,0.0,H-102
Rb,Im-3m,0.000921,0.0,0.02,0.07,1,1,0.000921,0.0,Indirect,Indirect,0.0,H-50
Re,Fm-3m,0.062454,0.0,0.0,0.0,1,1,0.062454,0.0,N.A.,N.A.,0.0,H-217
RhC,Fm-3m,1.062124,1.021958,0.0,0.0,2,2,1.062124,1.021958,N.A.,N.A.,None,H-11023
Rh,Fm-3m,0.0,0.0,0.0,0.0,1,1,0.0,0.0,N.A.,N.A.,0.0,H-293
RuC,F-43m,0.438676,0.302651,0.61,1.15,2,2,0.438676,0.302651,Indirect,Indirect,None,H-5360
RuN,F-43m,0.117666,0.251008,0.0,0.0,2,2,0.239977,0.178659,N.A.,N.A.,None,H-2533
Ru,Fm-3m,0.113445,0.151065,0.0,0.0,1,1,0.113445,0.151065,N.A.,N.A.,0.0,H-187
Ru,P63/mmc,0.0,0.0,0.0,0.0,2,1,0.0,0.0,N.A.,N.A.,0.0,H-85
S,C2,0.03863,0.0,2.35,3.48,9,1,0.03863,0.0,Indirect,Indirect,0.0,H-124
S,R-3,0.065575,0.020076,2.35,3.48,6,1,0.065575,0.020076,Indirect,Indirect,0.0,H-320
Sb,P21/m,0.038176,0.074339,0.0,0.0,4,1,0.038176,0.074339,N.A.,N.A.,0.0,H-179
Sb,R-3m,0.0,0.0,0.0,0.0,2,1,0.0,0.0,N.A.,N.A.,0.0,H-299
Sb,Pm-3m,0.042665,0.071302,0.0,0.0,1,1,0.042665,0.071302,N.A.,N.A.,0.0,H-330
Sb,Fm-3m,0.313461,0.426296,0.0,0.0,1,1,0.313461,0.426296,N.A.,N.A.,0.0,H-94
ScAg2,I4/mmm,-0.30819,-0.292286,0.0,0.0,3,2,-0.30819,-0.292286,N.A.,N.A.,-0.2809,H-5638
ScAg,Pm-3m,-0.284286,-0.263341,0.0,0.0,2,2,-0.284286,-0.263341,N.A.,N.A.,-0.2715,H-1238
ScAl,Pm-3m,-0.447278,-0.479862,0.0,0.0,2,2,-0.447278,-0.479862,N.A.,N.A.,-0.4514,H-2534
ScAs,Fm-3m,-1.374993,-1.589702,0.04,0.0,2,2,-1.374993,-1.589702,Indirect,N.A.,None,H-2792
ScAs,Pm-3m,-0.889143,-0.977027,0.0,0.0,2,2,-0.889143,-0.977027,N.A.,N.A.,None,H-4287
ScAu,Pm-3m,-0.812656,-0.82918,0.0,0.0,2,2,-0.812656,-0.82918,N.A.,N.A.,-0.7887,H-6546
ScBi,Fm-3m,-0.681624,-0.841582,0.0,0.0,2,2,-0.681624,-0.841582,N.A.,N.A.,None,H-1390
ScC,Fm-3m,-0.14308,-0.113211,0.0,0.0,2,2,-0.14308,-0.113211,N.A.,N.A.,None,H-11257
ScC,Pm-3m,0.39155,0.493387,0.0,0.0,2,2,0.39155,0.493387,N.A.,N.A.,None,H-1435
ScC,F-43m,0.469728,0.529581,0.0,0.0,2,2,0.469728,0.529581,N.A.,N.A.,None,H-4746
ScCd,Pm-3m,-0.300494,-0.304348,0.0,0.0,2,2,-0.300494,-0.304348,N.A.,N.A.,None,H-11335
ScGe,F-43m,0.250314,0.297798,0.0,0.0,2,2,0.250314,0.297798,N.A.,N.A.,None,H-6552
ScH2,Fm-3m,-0.754212,-0.725764,0.03,0.0,3,2,-0.688906,-0.758067,Indirect,N.A.,None,H-2953
ScHg,Pm-3m,-0.439063,-0.475153,0.0,0.0,2,2,-0.436404,-0.506025,N.A.,N.A.,None,H-5233
ScIr,Pm-3m,-1.027352,-1.232776,0.0,0.0,2,2,-1.027352,-1.232776,N.A.,N.A.,-0.9297,H-11640
ScN,Fm-3m,-2.036729,-2.041929,0.21,0.91,2,2,-1.914419,-2.114278,Indirect,Indirect,-1.6262,H-2898
ScN,Pm-3m,-1.002908,-0.904772,0.0,0.15,2,2,-0.880598,-0.977121,N.A.,Indirect,-1.6262,H-5809
ScNiBi,F-43m,-0.642073,-0.780705,0.18,0.33,3,3,-0.642073,-0.780705,Indirect,Indirect,None,H-996
ScP,Fm-3m,-1.662754,-1.769531,0.0,0.0,2,2,-1.490258,-1.671036,N.A.,N.A.,None,H-12513
ScP,Pm-3m,-1.100753,-1.092889,0.0,0.0,2,2,-0.928257,-0.994394,N.A.,N.A.,None,H-5282
ScPd,Pm-3m,-0.889251,-1.028435,0.0,0.04,2,2,-0.889251,-1.028435,N.A.,Indirect,-0.9255,H-3579
ScPt,Pm-3m,-1.213709,-1.339448,0.0,0.0,2,2,-1.213709,-1.339448,N.A.,N.A.,-1.0862,H-3670
ScRh,Pm-3m,-1.002272,-1.246232,0.0,0.01,2,2,-1.002272,-1.246232,N.A.,Indirect,-0.9794,H-9576
ScS,Fm-3m,-2.084459,-2.052595,0.0,0.0,2,2,-1.866215,-1.993884,N.A.,N.A.,None,H-1983
ScSbPd,F-43m,-1.035079,-1.278458,0.28,0.53,3,3,-1.035079,-1.278458,Indirect,Indirect,None,H-6784
ScSb,Pm-3m,-0.611594,-0.684134,0.0,0.0,2,2,-0.611594,-0.684134,N.A.,N.A.,None,H-1062
ScSb,Fm-3m,-0.94198,-1.154213,0.0,0.0,2,2,-0.94198,-1.154213,N.A.,N.A.,None,H-11389
ScSe,Fm-3m,-1.588543,-1.728232,0.0,0.0,2,2,-1.588543,-1.728232,N.A.,N.A.,None,H-11709
ScSn,F-43m,0.424227,0.444754,0.0,0.0,2,2,0.41129,0.44877,N.A.,N.A.,None,H-10022
Sc,P63/mmc,0.0,0.0,0.0,0.0,2,1,0.0,0.0,N.A.,N.A.,0.0,H-123
Sc,P4/mmm,0.719844,0.825279,0.0,0.0,1,1,0.719844,0.825279,N.A.,N.A.,0.0,H-277
Sc,I4/mmm,0.04633,0.123779,0.0,0.03,1,1,0.04633,0.123779,N.A.,Indirect,0.0,H-337
Sc,Fm-3m,0.045779,0.123576,0.0,0.0,1,1,0.045779,0.123576,N.A.,N.A.,0.0,H-341
SeS,Fm-3m,0.176815,0.57535,0.0,0.0,2,2,0.395059,0.634061,N.A.,N.A.,None,H-13205
Se,Im-3m,0.586593,0.827801,0.0,0.0,1,1,0.586593,0.827801,N.A.,N.A.,0.0,H-13
Se,C2,9e-06,0.000176,1.01,1.85,3,1,9e-06,0.000176,Indirect,Indirect,0.0,H-169
Se,P21,0.130086,0.24467,0.0,0.0,4,1,0.130086,0.24467,N.A.,N.A.,0.0,H-191
Se,C2,0.0,1.4e-05,1.01,1.86,3,1,0.0,1.4e-05,Indirect,Indirect,0.0,H-310
Se,Pm-3m,0.175561,0.369604,0.0,0.0,1,1,0.175561,0.369604,N.A.,N.A.,0.0,H-334
Se,C2,4e-06,0.0,1.01,1.86,3,1,4e-06,0.0,Indirect,Indirect,0.0,H-366
Si2Ru,Fm-3m,-0.233903,-0.299048,0.0,0.0,3,2,-0.233903,-0.299048,N.A.,N.A.,None,H-5623
SiOs,Pm-3m,-0.337563,-0.476086,0.0,0.26,2,2,-0.337563,-0.476086,N.A.,Direct,-0.4146,H-7078
SiP,F-43m,0.061122,0.19341,0.0,0.0,2,2,0.233619,0.291905,N.A.,N.A.,-0.1751,H-6523
SiPt2,I4/mmm,-0.718139,-0.829308,0.0,0.0,3,2,-0.718139,-0.829308,N.A.,N.A.,-0.6478,H-2502
SiRh,Pm-3m,-0.528937,-0.684908,0.0,0.0,2,2,-0.528937,-0.684908,N.A.,N.A.,-0.7815,H-3350
Si,C2/m,0.069175,0.077483,0.38,0.82,8,1,0.069175,0.077483,Indirect,Indirect,0.0,H-198
Si,P63/mmc,0.011077,0.011972,0.45,0.99,4,1,0.011077,0.011972,Indirect,Indirect,0.0,H-210
Si,Fmmm,0.299929,0.397311,0.0,0.0,8,1,0.299929,0.397311,N.A.,N.A.,0.0,H-216
Si,Fm-3m,0.536949,0.689481,0.0,0.0,1,1,0.536949,0.689481,N.A.,N.A.,0.0,H-233
Si,Fd-3m,0.0,0.0,0.63,1.21,2,1,0.0,0.0,Indirect,Indirect,0.0,H-243
Si,P6/mmm,0.307841,0.413786,0.0,0.0,1,1,0.307841,0.413786,N.A.,N.A.,0.0,H-247
Si,Cmcm,0.507756,0.650985,0.0,0.0,2,1,0.507756,0.650985,N.A.,N.A.,0.0,H-25
Si,Cmca,0.299911,0.397204,0.0,0.0,8,1,0.299911,0.397204,N.A.,N.A.,0.0,H-276
Si,Ia-3,0.158201,0.177163,0.02,0.25,8,1,0.158201,0.177163,Indirect,Direct,0.0,H-68
Si,I4/mmm,0.100997,0.113824,0.26,1.03,4,1,0.100997,0.113824,Indirect,Indirect,0.0,H-70
Si,C2/m,0.299925,0.397342,0.0,0.0,8,1,0.299925,0.397342,N.A.,N.A.,0.0,H-72
SmAg,Pm-3m,-0.289647,-0.293638,0.0,0.0,2,2,-0.289647,-0.293638,N.A.,N.A.,-0.3835,H-2943
SmAl,Pm-3m,-0.372167,-0.48222,0.0,0.0,2,2,-0.372167,-0.48222,N.A.,N.A.,-0.5078,H-2696
SmAs,Fm-3m,-1.526472,-1.789624,0.0,0.0,2,2,-1.526472,-1.789624,N.A.,Indirect,None,H-11462
SmAu,Pm-3m,-0.806482,-0.827848,0.0,0.0,2,2,-0.806482,-0.827848,N.A.,N.A.,-0.7908,H-12750
SmBi,Fm-3m,-0.945007,-1.181656,0.0,0.0,2,2,-0.945007,-1.181656,N.A.,N.A.,None,H-2044
SmC2,I4/mmm,-0.1574,-0.219099,0.0,0.0,3,2,-0.1574,-0.219099,N.A.,N.A.,-0.2994,H-12216
SmCd,Pm-3m,-0.325669,-0.366073,0.0,0.0,2,2,-0.325669,-0.366073,N.A.,N.A.,None,H-6926
SmH2,Fm-3m,-0.738778,-0.750875,0.0,0.23,3,2,-0.673471,-0.783178,Indirect,Indirect,None,H-3451
SmIn,Pm-3m,-0.452354,-0.539137,0.0,0.0,2,2,-0.452354,-0.539137,N.A.,N.A.,None,H-7277
SmMg,Pm-3m,-0.102001,-0.139241,0.0,0.0,2,2,-0.102001,-0.139241,N.A.,N.A.,None,H-13162
SmN,Fm-3m,-1.608158,-1.589985,0.29,0.64,2,2,-1.485847,-1.662334,Indirect,Indirect,None,H-9878
SmNiAs,Amm2,-1.042876,-1.213403,0.0,0.0,3,3,-1.042876,-1.213403,N.A.,N.A.,None,H-1632
SmO,Fm-3m,-3.04881,-3.194061,0.0,0.0,2,2,-2.761787,-3.123709,N.A.,N.A.,None,H-13280
SmPPt,P-6m2,-1.459304,-1.614185,0.0,0.0,3,3,-1.344307,-1.548522,N.A.,N.A.,None,H-580
SmP,Fm-3m,-1.745262,-1.896627,0.0,0.11,2,2,-1.572766,-1.798132,N.A.,Indirect,None,H-7766
SmRh,Pm-3m,-0.696936,-0.914985,0.0,0.0,2,2,-0.696936,-0.914985,N.A.,N.A.,None,H-1758
SmS,Fm-3m,-2.238042,-2.31172,0.0,0.0,2,2,-2.019797,-2.253009,N.A.,N.A.,-2.2333,H-7432
SmSb,Fm-3m,-1.179055,-1.45594,0.0,0.0,2,2,-1.179055,-1.45594,N.A.,N.A.,None,H-1680
SmSe,Fm-3m,-1.811048,-2.066727,0.0,0.0,2,2,-1.811048,-2.066727,N.A.,Indirect,None,H-10852
SmSnAu,F-43m,-0.853518,-0.966382,0.1,0.26,3,3,-0.862143,-0.963704,Indirect,Indirect,None,H-5594
SmTe,Fm-3m,-1.37802,-1.624577,0.0,0.0,2,2,-1.37802,-1.624577,N.A.,N.A.,None,H-6279
SmTl,Pm-3m,-0.379039,-0.545493,0.0,0.0,2,2,-0.379039,-0.545493,N.A.,N.A.,None,H-11968
Sm,P63/mmc,0.0,0.0,0.0,0.0,4,1,0.0,0.0,N.A.,N.A.,0.0,H-11
Sm,I4/mmm,0.01056,0.021409,0.0,0.0,1,1,0.01056,0.021409,N.A.,N.A.,0.0,H-232
Sm,C2,0.010163,0.020743,0.0,0.0,3,1,0.010163,0.020743,N.A.,N.A.,0.0,H-95
Sn2Ir,Fm-3m,-0.263436,-0.397848,0.0,0.0,3,2,-0.280686,-0.392494,N.A.,N.A.,-0.1337,H-6073
Sn2Pt,Fm-3m,-0.426446,-0.514932,0.0,0.0,3,2,-0.443697,-0.509577,N.A.,N.A.,None,H-11064
SnAs,Fm-3m,-0.045844,-0.034753,0.0,0.0,2,2,-0.058782,-0.030738,N.A.,N.A.,None,H-5347
SnC,F-43m,0.829681,0.804038,0.62,1.4,2,2,0.816744,0.808054,Direct,Direct,None,H-11309
SnC,Fm-3m,1.316162,1.290219,0.0,0.0,2,2,1.303224,1.294234,N.A.,N.A.,None,H-12602
SnO2,Fm-3m,-1.76362,-1.815377,0.5,1.18,3,2,-1.389548,-1.718896,Indirect,Indirect,-1.9956,H-6115
SnS2,C2/m,-0.650876,-0.510434,1.52,2.37,3,2,-0.368509,-0.429475,Indirect,Indirect,-0.49,H-8506
SnS,Fm-3m,-0.603462,-0.411464,0.15,0.31,2,2,-0.398155,-0.348738,Direct,Direct,-0.5683,H-1380
SnSb,R-3m,0.016012,0.028943,0.0,0.0,2,2,0.003074,0.032959,N.A.,N.A.,None,H-10815
SnSb,F-43m,0.191243,0.235632,0.0,0.01,2,2,0.178306,0.239648,N.A.,Indirect,None,H-4124
SnSb,Pm-3m,0.137114,0.198363,0.0,0.0,2,2,0.124176,0.202379,N.A.,N.A.,None,H-5426
SnSe,Fm-3m,-0.420177,-0.414442,0.38,0.27,2,2,-0.433115,-0.410426,Indirect,Direct,-0.49,H-10180
SnTe,F-43m,-0.024615,0.011583,0.14,0.34,2,2,-0.037553,0.015599,Indirect,Indirect,-0.3144,H-12054
SnTe,Pm-3m,-0.035007,-0.120809,0.0,0.0,2,2,-0.047944,-0.116793,N.A.,N.A.,-0.3144,H-13307
SnTe,Fm-3m,-0.275208,-0.285034,0.39,0.24,2,2,-0.288145,-0.281018,Direct,Direct,-0.3144,H-4373
Sn,I41/amd,0.039469,0.110673,0.0,0.0,2,1,0.039469,0.110673,N.A.,N.A.,0.0,H-269
Sn,P6/mmm,0.040423,0.116754,0.0,0.0,1,1,0.040423,0.116754,N.A.,N.A.,0.0,H-332
Sn,Fd-3m,0.0,0.0,0.0,0.0,2,1,0.0,0.0,N.A.,Direct,0.0,H-8
SrAlSi,Amm2,-0.397307,-0.424561,0.0,0.0,3,3,-0.397307,-0.424561,N.A.,N.A.,None,H-7940
SrC2,I4/mmm,0.021252,-0.009264,1.73,3.01,3,2,0.021252,-0.009264,Indirect,Indirect,-0.2591,H-8187
SrCd,Pm-3m,-0.33874,-0.301236,0.0,0.0,2,2,-0.33874,-0.301236,N.A.,N.A.,None,H-6952
SrF2,Fm-3m,-4.197095,-4.257949,6.74,8.8,3,2,-3.930152,-4.121278,Indirect,Indirect,-4.2049,H-11055
SrGa2,Cmmm,-0.500853,-0.226057,0.0,0.0,3,2,-0.500853,-0.226057,N.A.,N.A.,None,H-643
SrGe2,C2/m,-0.496091,-0.508987,0.0,0.0,3,2,-0.496091,-0.508987,N.A.,N.A.,None,H-9653
SrHg2,Cmmm,-0.496702,-0.494366,0.0,0.0,3,2,-0.493157,-0.535529,N.A.,N.A.,None,H-13055
SrHgO2,R-3m,-1.987074,-2.002507,2.21,3.75,4,3,-1.698722,-1.947591,Indirect,Indirect,None,H-378
SrHg,Pm-3m,-0.542667,-0.511455,0.0,0.0,2,2,-0.540008,-0.542327,N.A.,N.A.,None,H-11019
SrLiP,P-6m2,-1.020827,-1.075557,0.85,1.45,3,3,-0.90583,-1.009893,Indirect,Indirect,None,H-8678
SrMg,Pm-3m,-0.055724,-0.054839,0.0,0.0,2,2,-0.055724,-0.054839,N.A.,N.A.,None,H-5942
SrO,Pm-3m,-2.605178,-2.688598,2.76,4.27,2,2,-2.318156,-2.618245,Indirect,Indirect,-3.0626,H-1115
SrO,Fm-3m,-3.020799,-3.101355,3.28,4.76,2,2,-2.733777,-3.031002,Indirect,Indirect,-3.0626,H-7792
SrS,Pm-3m,-2.064852,-2.078918,1.8,2.74,2,2,-1.846608,-2.020207,Indirect,Indirect,-2.4874,H-3572
SrS,Fm-3m,-2.364237,-2.385536,2.5,3.46,2,2,-2.145993,-2.326826,Indirect,Indirect,-2.4874,H-3756
SrSbPt,Amm2,-0.947873,-1.088254,0.0,0.0,3,3,-0.947873,-1.088254,N.A.,N.A.,None,H-10909
SrSe,Fm-3m,-2.066531,-2.279918,2.23,3.11,2,2,-2.066531,-2.279918,Indirect,Indirect,-1.9991,H-2382
SrSi,P4/mmm,-0.107581,-0.032887,0.0,0.0,2,2,-0.107581,-0.032887,N.A.,N.A.,None,H-3672
SrTe,Pm-3m,-1.504291,-1.708112,0.47,1.1,2,2,-1.504291,-1.708112,Direct,Direct,None,H-1538
SrTl,Pm-3m,-0.429777,-0.461073,0.0,0.0,2,2,-0.429777,-0.461073,N.A.,N.A.,None,H-6062
Sr,Im-3m,0.004245,0.021095,0.0,0.0,1,1,0.004245,0.021095,N.A.,N.A.,0.0,H-107
